timestamp,RSSI,LQI,Ax,Ay,Az,Gx,Gy,Gz,time
1720505940,8,48,-1001,29,23,328,-667,165,8:19:00
1720505940,24,52,-956,25,34,-10,-442,2565,8:19:00
1720505940,40,56,-948,18,50,-107,167,2875,8:19:00
1720505940,-168,68,-1021,20,60,-269,613,204,8:19:00
1720505940,-152,72,-1040,12,68,-338,744,804,8:19:00
1720505940,-168,68,-1022,13,64,-169,344,-85,8:19:00
1720505940,72,64,-1016,24,44,11,-237,-209,8:19:00
1720505940,-168,68,-1045,19,34,222,-665,-232,8:19:00
1720505940,-136,76,-1038,28,34,426,-688,-122,8:19:00
1720505940,-168,68,-988,30,35,239,-325,-13,8:19:00
1720505940,72,64,-975,23,50,48,74,45,8:19:00
1720505940,-168,68,-989,17,61,-45,369,1132,8:19:00
1720505940,-152,72,-1013,13,65,-23,357,181,8:19:00
1720505940,-152,72,-1005,13,60,44,86,109,8:19:00
1720505940,-168,68,-1000,20,46,124,-237,-50,8:19:00
1720505940,72,64,-1024,21,41,132,-427,-142,8:19:00
1720505941,40,56,-1021,27,38,327,-319,-79,8:19:01
1720505941,40,56,-992,30,41,107,-61,-1029,8:19:01
1720505941,56,60,-987,21,58,33,175,58,8:19:01
1720505941,56,60,-1002,18,60,-92,249,7329,8:19:01
1720505941,56,60,-1010,12,64,-75,136,5929,8:19:01
1720505941,56,60,-1016,21,57,86,-44,6,8:19:01
1720505941,56,60,-1018,23,47,33,-207,-589,8:19:01
1720505941,72,64,-1017,29,48,124,-194,-85,8:19:01
1720505941,56,60,-972,29,53,10,-19,-11625,8:19:01
1720505941,40,56,-1000,21,64,145,100,-295,8:19:01
1720505942,40,56,-973,23,62,143,132,-1525,8:19:02
1720505942,-24,40,-949,15,62,285,68,44,8:19:02
1720505942,-8,44,-1007,6,52,324,-59,13125,8:19:02
1720505942,40,56,-1021,13,42,573,-130,167,8:19:02
1720505942,-136,12,-1004,13,36,371,-306,231,8:19:02
1720505942,-120,16,-1015,15,31,670,-371,337,8:19:02
1720505942,-88,24,-1012,27,33,240,-306,147,8:19:02
1720505942,-72,28,-1012,27,33,240,-306,147,8:19:02
